session_id,round,client_id,tier,tier_name,magnitude,magnitude_z_score,cosine_similarity,cosine_z_score,anomaly_score,is_poisoned,passed_validation
20260306_182926,1,0,1,Powerful Edge Server,0.095773,0.975,,0,0.585,False,True
20260306_182926,1,1,2,Mid-Range IoT Device,0.10817,1.7147,,0,1.0288,False,True
20260306_182926,1,2,2,Mid-Range IoT Device,0.095731,0.984,,0,0.5904,False,True
20260306_182926,1,3,3,Constrained Sensor Node,0.099946,0.0696,,0,0.0417,False,True
20260306_182926,1,4,3,Constrained Sensor Node,0.100163,0.0224,,0,0.0135,False,True
20260306_182926,1,5,1,Powerful Edge Server,0.099563,0.1527,,0,0.0916,False,True
20260306_182926,1,6,2,Mid-Range IoT Device,0.107032,1.4678,,0,0.8807,False,True
20260306_182926,1,7,2,Mid-Range IoT Device,0.095755,0.9788,,0,0.5873,False,True
20260306_182926,2,0,1,Powerful Edge Server,0.101367,0.1619,0.4431,1.5564,0.7197,False,True
20260306_182926,2,1,2,Mid-Range IoT Device,0.097914,0.9652,0.4023,0.1948,0.657,False,True
20260306_182926,2,2,2,Mid-Range IoT Device,0.09795,0.9568,0.3986,0.355,0.7161,False,True
20260306_182926,2,3,3,Constrained Sensor Node,0.098041,0.9357,0.3835,1.002,0.9622,False,True
20260306_182926,2,4,3,Constrained Sensor Node,0.110374,1.9336,0.3868,0.8621,1.505,True,False
20260306_182926,2,5,1,Powerful Edge Server,0.101152,0.2121,0.4333,1.1343,0.581,False,True
20260306_182926,2,6,2,Mid-Range IoT Device,0.100995,0.2485,0.4158,0.383,0.3023,False,True
20260306_182926,2,7,2,Mid-Range IoT Device,0.102044,0.0044,0.4278,0.898,0.3618,False,True
20260306_182926,2,8,3,Constrained Sensor Node,0.10873,1.551,0.3705,1.5578,1.5537,True,False
20260306_182926,3,0,1,Powerful Edge Server,0.102254,0.1362,0.2797,0.8424,0.4187,False,True
20260306_182926,3,1,2,Mid-Range IoT Device,0.09943,0.8308,0.2016,0.9907,0.8948,False,True
20260306_182926,3,2,2,Mid-Range IoT Device,0.102081,0.1789,0.2426,0.0273,0.1183,False,True
20260306_182926,3,3,3,Constrained Sensor Node,0.102192,0.1514,0.2824,0.9052,0.4529,False,True
20260306_182926,3,4,3,Constrained Sensor Node,0.110028,1.776,0.2742,0.7143,1.3513,False,True
20260306_182926,3,5,1,Powerful Edge Server,0.099486,0.8171,0.2119,0.7505,0.7904,False,True
20260306_182926,3,6,2,Mid-Range IoT Device,0.099535,0.8049,0.1665,1.8144,1.2087,False,True
20260306_182926,3,7,2,Mid-Range IoT Device,0.111013,2.0183,0.2962,1.2309,1.7033,True,False
20260306_182926,3,8,3,Constrained Sensor Node,0.099427,0.8316,0.2034,0.95,0.879,False,True
20260306_182926,3,9,3,Constrained Sensor Node,0.102631,0.0434,0.2796,0.8401,0.3621,False,True
20260306_182926,4,0,1,Powerful Edge Server,0.112924,2.0929,0.2359,1.3772,1.8066,True,False
20260306_182926,4,1,2,Mid-Range IoT Device,0.100804,0.8056,0.1279,0.9255,0.8536,False,True
20260306_182926,4,2,2,Mid-Range IoT Device,0.100774,0.8127,0.1065,1.3821,1.0404,False,True
20260306_182926,4,3,3,Constrained Sensor Node,0.100866,0.7907,0.113,1.2427,0.9715,False,True
20260306_182926,4,4,3,Constrained Sensor Node,0.10348,0.1657,0.2147,0.9258,0.4698,False,True
20260306_182926,4,5,1,Powerful Edge Server,0.103644,0.1263,0.2082,0.7859,0.3902,False,True
20260306_182926,4,6,2,Mid-Range IoT Device,0.103339,0.1994,0.1716,0.0062,0.1221,False,True
20260306_182926,4,7,2,Mid-Range IoT Device,0.103759,0.0988,0.1966,0.5403,0.2754,False,True
20260306_182926,4,8,3,Constrained Sensor Node,0.111341,1.7144,0.2165,0.963,1.4138,False,True
20260306_182926,4,9,3,Constrained Sensor Node,0.100794,0.808,0.1222,1.0481,0.904,False,True
20260306_182926,5,0,1,Powerful Edge Server,0.113931,1.6987,0.2133,1.1838,1.4928,False,True
20260306_182926,5,1,2,Mid-Range IoT Device,0.102183,0.9606,0.1013,1.0519,0.9971,False,True
20260306_182926,5,2,2,Mid-Range IoT Device,0.104875,0.3512,0.1663,0.2454,0.3089,False,True
20260306_182926,5,3,3,Constrained Sensor Node,0.102139,0.9704,0.0639,1.7994,1.302,False,True
20260306_182926,5,4,3,Constrained Sensor Node,0.10488,0.3502,0.186,0.639,0.4657,False,True
20260306_182926,5,5,1,Powerful Edge Server,0.104577,0.4186,0.1491,0.0979,0.2903,False,True
20260306_182926,5,6,2,Mid-Range IoT Device,0.1124,1.3523,0.1982,0.881,1.1638,False,True
