session_id,round,client_id,tier,tier_name,reputation,passed_validation,was_flagged
20260306_182926,1,0,1,Powerful Edge Server,110,True,False
20260306_182926,1,1,2,Mid-Range IoT Device,110,True,False
20260306_182926,1,2,2,Mid-Range IoT Device,110,True,False
20260306_182926,1,3,3,Constrained Sensor Node,110,True,False
20260306_182926,1,4,3,Constrained Sensor Node,110,True,False
20260306_182926,1,5,1,Powerful Edge Server,110,True,False
20260306_182926,1,6,2,Mid-Range IoT Device,110,True,False
20260306_182926,1,7,2,Mid-Range IoT Device,100,True,False
20260306_182926,2,0,1,Powerful Edge Server,120,True,False
20260306_182926,2,1,2,Mid-Range IoT Device,120,True,False
20260306_182926,2,2,2,Mid-Range IoT Device,120,True,False
20260306_182926,2,3,3,Constrained Sensor Node,110,True,False
20260306_182926,2,4,3,Constrained Sensor Node,90,False,True
20260306_182926,2,5,1,Powerful Edge Server,120,True,False
20260306_182926,2,6,2,Mid-Range IoT Device,120,True,False
20260306_182926,2,7,2,Mid-Range IoT Device,110,True,False
20260306_182926,2,8,3,Constrained Sensor Node,80,False,True
20260306_182926,3,0,1,Powerful Edge Server,130,True,False
20260306_182926,3,1,2,Mid-Range IoT Device,130,True,False
20260306_182926,3,2,2,Mid-Range IoT Device,130,True,False
20260306_182926,3,3,3,Constrained Sensor Node,120,True,False
20260306_182926,3,4,3,Constrained Sensor Node,100,True,False
20260306_182926,3,5,1,Powerful Edge Server,130,True,False
20260306_182926,3,6,2,Mid-Range IoT Device,130,True,False
20260306_182926,3,7,2,Mid-Range IoT Device,90,False,True
20260306_182926,3,8,3,Constrained Sensor Node,90,True,False
20260306_182926,3,9,3,Constrained Sensor Node,110,True,False
20260306_182926,4,0,1,Powerful Edge Server,110,False,True
20260306_182926,4,1,2,Mid-Range IoT Device,140,True,False
20260306_182926,4,2,2,Mid-Range IoT Device,140,True,False
20260306_182926,4,3,3,Constrained Sensor Node,130,True,False
20260306_182926,4,4,3,Constrained Sensor Node,110,True,False
20260306_182926,4,5,1,Powerful Edge Server,140,True,False
20260306_182926,4,6,2,Mid-Range IoT Device,140,True,False
20260306_182926,4,7,2,Mid-Range IoT Device,100,True,False
20260306_182926,4,8,3,Constrained Sensor Node,100,True,False
20260306_182926,4,9,3,Constrained Sensor Node,120,True,False
20260306_182926,5,0,1,Powerful Edge Server,120,True,False
20260306_182926,5,1,2,Mid-Range IoT Device,150,True,False
20260306_182926,5,2,2,Mid-Range IoT Device,140,True,False
20260306_182926,5,3,3,Constrained Sensor Node,140,True,False
20260306_182926,5,4,3,Constrained Sensor Node,110,True,False
20260306_182926,5,5,1,Powerful Edge Server,150,True,False
20260306_182926,5,6,2,Mid-Range IoT Device,150,True,False
